training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
49;1;235;286;37;12124;-5;5
49;2;270;376;41;24172;1;-1
49;3;213;220;38;11260;-4;4
49;4;253;285;37;17916;5;-5
49;5;187;222;36;11536;6;-6
49;6;186;215;32;21112;10;-10
49;7;252;327;40;18844;-2;2
49;8;178;188;31;9744;11;-11
49;9;225;230;34;26268;8;-8
49;10;240;281;39;12432;3;-3
